Show Name,Show Theatre,Show Type,Attendance,Gross,Performances,Date,Average Ticket Price in week
Miss Saigon,Broadway,Musical,13916,701832,8,21/06/1992,50.4335
A Streetcar Named Desire 92,Ethel Barrymore,Play,6009,242339,8,28/06/1992,40.3293
Miss Saigon,Broadway,Musical,13930,709530,8,28/06/1992,50.9354
A Streetcar Named Desire 92,Ethel Barrymore,Play,4612,177043,8,05/07/1992,38.3875
Miss Saigon,Broadway,Musical,13409,681135,8,05/07/1992,50.7969
A Streetcar Named Desire 92,Ethel Barrymore,Play,6065,236411,8,12/07/1992,38.9796
Miss Saigon,Broadway,Musical,13337,681649,8,12/07/1992,51.1096
A Streetcar Named Desire 92,Ethel Barrymore,Play,5996,226232,8,19/07/1992,37.7305
Miss Saigon,Broadway,Musical,13303,676548,8,19/07/1992,50.8568
A Streetcar Named Desire 92,Ethel Barrymore,Play,6570,241848,8,26/07/1992,36.811
Miss Saigon,Broadway,Musical,13546,689763,8,26/07/1992,50.9201
A Streetcar Named Desire 92,Ethel Barrymore,Play,6874,263971,8,02/08/1992,38.4014
Miss Saigon,Broadway,Musical,13447,685791,8,02/08/1992,50.9996
A Streetcar Named Desire 92,Ethel Barrymore,Play,7836,312031,8,09/08/1992,39.8202
Miss Saigon,Broadway,Musical,13665,699232,8,09/08/1992,51.1696
Miss Saigon,Broadway,Musical,13963,712610,8,16/08/1992,51.0356
